id	year	place	place_abbrv	latitude	longitude	title	author	subjects	publisher
ocm00449132 	1968	new york	nyu	40.758896	-73.985130	[the quattro cento a different conception of the italian renaissance florence and verona an essay in italian fifteenth century architecture and sculpture]	[author:stokes adrian]	[subject:art italian] [subject:renaissance] [subject:art early renaissance]	[publisher:schocken books]
ocm00479170 	1944	new york	nyu	40.758896	-73.985130	[duveen sculpture in public collections of america a catalogue raisonné with illustrations of italian renaissance sculptures by the great masters which have passed through the house of duveen]	[subject:sculpture italian] [subject:sculpture renaissance] [subject:sculpture]	[publisher:william bradford press]
ocm00490047 	1907	new york	nyu	40.758896	-73.985130	[north italian painters of the renaissance]	[author:berenson bernard]	[subject:malerei] [subject:renaissance] [subject:painters]	[publisher:g p putnam s sons]
ocm00492201 	1967	bologna	it	44.89688	11.98523	[contributi alla storia degli strumenti musicali in italia rinascimento e barocco]	[author:cervelli luisa]	[subject:musical instruments] [subject:muziekinstrumenten]	[publisher:tamari]
ocm00499780 	1900	new york	nyu	40.758896	-73.985130	[the florentine painters of the renaissance with an index to their works]	[author:berenson bernard]	[subject:painters italian] [subject:art renaissance]	[publisher:g p putnam s sons]
ocm00510965 	1965	new york	nyu	40.758896	-73.985130	[italian renaissance]	[author:myron robert] [author:fanning ralph]	[subject:art italian] [subject:art renaissance] [subject:art italien] [subject:art de la renaissance]	[publisher:pitman pub corp]
ocm00519241 	1958	detroit	miu	44.73401	-122.1498	[decorative arts of the italian renaissance 1400 1600 the detroit institute of arts exhibition november 18 1958 january 4 1959]	[author:grigaut paul l]	[subject:decoration and ornament] [subject:decorative arts]
ocm00519362 	1966	new york	nyu	40.758896	-73.985130	[rembrandt and the italian renaissance]	[author:clark kenneth]	[subject:art renaissance] [subject:art de la renaissance] [subject:kunst]	[dewey:759.9]	[publisher:new york university press]
ocm00527710 	1969	napoli	it	40.87618	14.5195	[sistemi critici e strutture narrative ricerche sulla cultura fiorentina del rinascimento]	[author:bruni francesco]	[subject:italian literature] [subject:vertelkunst] [subject:littérature italienne] [subject:italiaans]	[publisher:liguori]
ocm00534438 	1931	münchen	gw	48.13452	11.571	[die kunst das renaissance italien und das deutsche formgefühl]	[author:wölfflin heinrich]	[subject:art italian] [subject:art renaissance] [subject:art german]	[dewey:709]	[publisher:f bruckmann a g]
ocm00537157 	1934	wien	au	48.20849	16.37208	[franz von assisi und die anfänge der kunst der renaissance in italien]	[author:thode henry]	[subject:renaissance] [subject:franciscanen] [subject:art] [subject:christelijke kunst] [subject:art renaissance] [subject:kunst] [subject:church buildings] [subject:christian art and symbolism]	[publisher:phaidon verlag]
ocm00544215 	1922	leipzig	gw	51.34198	12.37498	[die italienische stadt der renaissance]	[author:weisbach werner]	[subject:cities and towns]	[publisher:e a seemann]
ocm00544221 	1965	new york	nyu	40.758896	-73.985130	[the italian renaissance]	[author:stampfle felice] [author:bean jacob]	[subject:dessin italien] [subject:drawing] [subject:dessin de la renaissance] [subject:drawing italian]	[dewey:741.9]	[publisher:metropolitan museum of art pierpont morgan library]
